sno,Label,Tag,Day,BN/N/FN(0/1/2),TradeType(l/s),Positional,startTime,cutOffTime,endTime,CandlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap
1,,,0,0,s,TRUE,09:16,15:10,15:15,1,0,1000,-100,100,20,2,0,1000,14,-1000,1000,0,0.5,TRUE,0.1,0.3,0.1,0.3,2,15,5
2,,,0,0,l,TRUE,09:16,15:10,15:15,1,0,1000,-100,100,20,2,0,1000,14,-1000,1000,0,0.5,FALSE,0.1,0.3,0.1,0.3,2,15,5
3,,,0,0,s,TRUE,09:16,15:10,15:15,1,0,1000,-100,100,80,2,0,1000,14,-1000,1000,0,0.5,TRUE,0.1,0.3,0.1,0.3,2,15,5
4,,,0,0,l,TRUE,09:16,15:10,15:15,1,0,1000,-100,100,80,2,0,1000,14,-1000,1000,0,0.5,TRUE,0.1,0.3,0.1,0.3,2,15,5
