S.no,Date,TotalTrades,Profit,Profit%,Cost,Cost%,
2,30-09-19,1,-90.5,-0.30871198,-207.58041,-0.7080935,
2,16-02-22,1,-129.20312,-0.3367923,-282.39612,-0.7361247,
2,16-02-21,2,-224.20312,-0.6002245,-522.7704,-1.3990219,
2,12-01-22,1,111.89844,0.28933203,-43.02437,-0.11124426,
2,25-06-20,2,269.25,1.2607527,97.656296,0.45823094,
2,06-10-22,1,-128.90234,-0.3273099,-286.17395,-0.72665995,
2,07-04-16,1,1.7001953,0.010846195,-61.005207,-0.38917345,
2,06-10-20,2,-32.851562,-0.14511943,-214.94746,-0.9448283,
2,17-02-16,2,9.900391,0.070717245,-102.67961,-0.72941774,
2,27-08-19,1,-93.84961,-0.3330492,-206.37752,-0.7323811,
2,19-03-20,5,944.84766,4.7827625,549.5819,2.7731776,
2,03-06-22,1,-123.30078,-0.34326786,-266.73297,-0.7425852,
2,23-09-19,2,110.0,0.36663225,-133.64842,-0.43410754,
2,02-07-20,1,-2.4003906,-0.0107942885,-91.345985,-0.41077143,
2,21-08-20,1,89.79883,0.40474716,0.8736191,0.0039350544,
2,31-08-20,1,-209.25,-0.83206093,-309.4251,-1.2303995,
2,09-03-21,1,-109.69922,-0.30647033,-252.65741,-0.7058651,
2,03-06-20,2,-195.39844,-0.9163315,-365.72363,-1.7144941,
2,19-03-21,3,-357.44922,-1.0504578,-764.4884,-2.2483568,
2,09-03-22,1,119.09766,0.3565259,-14.760757,-0.044178385,
2,03-12-20,1,104.34961,0.35217255,-14.380096,-0.048527792,
2,03-12-21,1,-23.851562,-0.06500029,-170.58208,-0.4648702,
2,04-11-20,1,-89.0,-0.34900248,-190.827,-0.74830127,
2,26-06-20,2,-171.75195,-0.79402465,-344.4803,-1.5924466,
2,08-10-20,1,197.79883,0.8549008,104.85503,0.4531929,
2,16-03-20,1,-96.5,-0.40265882,-192.1698,-0.801854,
2,16-03-21,1,-109.64844,-0.31028917,-250.77914,-0.70967454,
2,25-07-22,1,-111.40234,-0.30123353,-259.10776,-0.7006355,
2,16-03-22,1,48.94922,0.13740112,-93.64888,-0.26287243,
2,10-01-22,1,-151.94922,-0.39820752,-304.27853,-0.797408,
2,05-07-22,1,115.35156,0.33775735,-21.487946,-0.06291918,
2,18-04-16,1,-52.65039,-0.32380414,-117.58489,-0.7231569,
2,17-02-21,1,-119.25,-0.32142857,-267.4115,-0.7207821,
