Sr.No,TradeType(l/s),positional,costPercent,startTime,cutOffTime,endTime,candlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap
36,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,20,8,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
37,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,20,9,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
38,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,20,10,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
39,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,20,15,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
40,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,20,20,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
41,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,20,25,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
42,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,20,30,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
43,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,20,35,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
44,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,20,40,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
45,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,20,50,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
46,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,20,80,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
47,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,20,90,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
48,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,20,100,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
49,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,20,60,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
50,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,20,70,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
51,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,20,125,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
52,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,20,150,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
53,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,20,175,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
54,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,20,200,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
55,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,0,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
56,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,1,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
57,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,2,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
58,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,3,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
59,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,4,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
60,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,5,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
61,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,9,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
62,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,10,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
63,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,6,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
64,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,7,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
65,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,8,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
66,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,15,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
67,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,20,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
68,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,25,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
69,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,30,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
70,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,35,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
71,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,40,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
72,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,50,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
73,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,60,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
74,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,70,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
75,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,80,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
