sno,TradeType(l/s),Positional,costPercent,startTime,cutOffTime,endTime,CandlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap
23,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,20,-1000,-9,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
24,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,20,-1000,-10,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
25,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,20,-1000,-15,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
26,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,20,-1000,-20,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
27,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
28,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
29,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
30,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
31,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
32,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
33,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
34,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
35,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,-8,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
36,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,-9,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
37,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,-10,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
38,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,-15,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
39,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,-20,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
40,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
41,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
42,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
43,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
44,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
45,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
46,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
47,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
48,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,-8,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
49,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,-9,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
50,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,-10,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
51,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,-15,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
52,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,-20,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
53,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,20,-1000,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
54,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,20,-1000,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
55,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,20,-1000,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
56,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,20,-1000,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
57,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,20,-1000,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
58,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,20,-1000,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
59,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,20,-1000,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
60,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,20,-1000,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
61,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,20,-1000,-8,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
62,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,20,-1000,-9,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
63,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,20,-1000,-10,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
64,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,20,-1000,-15,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
65,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,20,-1000,-20,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
66,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,30,-1000,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
67,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,30,-1000,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
68,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,30,-1000,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
69,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,30,-1000,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
70,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,30,-1000,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
71,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,30,-1000,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
72,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,30,-1000,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
73,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,30,-1000,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
74,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,30,-1000,-8,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
75,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,30,-1000,-9,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
76,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,30,-1000,-10,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
77,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,30,-1000,-15,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
78,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,30,-1000,-20,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
79,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,15,-1000,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
80,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,15,-1000,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
81,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,15,-1000,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
82,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,15,-1000,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
83,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,15,-1000,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
84,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,15,-1000,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
85,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,15,-1000,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
86,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,15,-1000,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
87,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,15,-1000,-8,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
88,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,15,-1000,-9,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
89,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,15,-1000,-10,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
90,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,15,-1000,-15,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
91,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,15,-1000,-20,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
92,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-1000,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
93,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-1000,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
94,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-1000,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
95,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-1000,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
96,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-1000,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
97,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-1000,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
98,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-1000,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
99,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-1000,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
100,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-1000,-8,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
101,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-1000,-9,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
102,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-1000,-10,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
103,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-1000,-15,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
104,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,20,-1000,-20,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
105,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,30,-1000,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
106,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,30,-1000,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
107,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,30,-1000,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
108,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,30,-1000,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
109,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,30,-1000,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
110,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,30,-1000,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
111,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,30,-1000,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
112,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,30,-1000,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
113,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,30,-1000,-8,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
114,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,30,-1000,-9,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
115,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,30,-1000,-10,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
116,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,30,-1000,-15,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
117,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,1000,30,-1000,-20,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
118,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,15,-1000,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
119,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,15,-1000,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
120,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,15,-1000,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
121,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,15,-1000,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
122,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,15,-1000,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
123,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,15,-1000,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
124,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,15,-1000,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
125,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,15,-1000,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
126,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,15,-1000,-8,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
127,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,15,-1000,-9,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
128,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,15,-1000,-10,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
129,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,15,-1000,-15,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
130,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,15,-1000,-20,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
131,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,20,-1000,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
132,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,20,-1000,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
133,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,20,-1000,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
134,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,20,-1000,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
135,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,20,-1000,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
136,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,20,-1000,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
137,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,20,-1000,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
138,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,20,-1000,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
139,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,20,-1000,-8,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
140,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,20,-1000,-9,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
141,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,20,-1000,-10,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
142,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,20,-1000,-15,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
143,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,20,-1000,-20,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
144,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,30,-1000,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
145,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,30,-1000,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
146,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,30,-1000,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
147,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,30,-1000,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
148,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,30,-1000,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
149,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,30,-1000,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
150,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,30,-1000,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
151,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,30,-1000,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
152,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,30,-1000,-8,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
153,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,30,-1000,-9,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
154,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,30,-1000,-10,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
155,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,30,-1000,-15,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
156,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,3,0,1000,30,-1000,-20,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
157,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,2,0,1000,15,-1000,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
158,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,2,0,1000,15,-1000,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
