sno,TradeType(l/s),Positional,costPercent,startTime,cutOffTime,endTime,CandlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap
35,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,2,0.5,1000,30,-20,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
36,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,2,0.5,1000,30,-20,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
37,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,2,0.5,1000,30,-20,-8,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
38,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,2,0.5,1000,30,-20,-9,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
39,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,2,0.5,1000,30,-20,-10,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
40,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-25,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
41,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-25,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
42,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-25,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
43,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-25,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
44,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-25,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
45,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-25,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
46,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-25,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
47,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,60,3,0.5,1000,30,-25,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
48,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,60,3,0.5,1000,30,-25,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
49,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,20,-30,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
50,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,20,-30,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
51,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,20,-30,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
52,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,20,-30,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
53,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,20,-30,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
54,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,30,-30,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
55,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,30,-30,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
56,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,30,-30,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
