sno,TradeType(l/s),Positional,costPercent,startTime,cutOffTime,endTime,CandlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap,TradingDays,TotalTrades,TradeMaxProfit,TradeMaxLoss,DayMaxProfit,DayMaxLoss,TradeAverageProfit,TradeAverageLoss,TradeWinPercent,TradeWinPercent(Cost),TradeExpectancy,TradeExpectancy(Cost),Profit,Profit %,DayAverageProfit,DayAverageLoss,DayWinPercent,DayExpectancy,ProfitCost,ProfitCost %,DayWinPercent(Cost),DayAverageProfit(Cost),DayAverageLoss(Cost),DayExpectancy(Cost),HoldingPeriodAvg,Calmar
13,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,15,-1000,-20,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,393,468,2002.3984,-686.5508,3765.5977,-686.5508,209.43243,-102.423,40.811966,33.760685,1.4099381,0.9545063,11630.427,33.677235,252.99738,-111.30778,38.676846,1.433564,-1670.1279,-13.139646,32.061066,263.853,-130.77007,0.9521666,17.470085,-0.34658244
14,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,20,-1000,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,426,529,2002.3984,-686.5508,3765.5977,-686.5508,207.54295,-98.497604,38.9414,32.89225,1.3438383,0.8998762,10939.119,33.81978,248.76775,-108.51023,37.558685,1.378992,-4164.8203,-19.097136,31.690142,251.191,-130.84401,0.8906171,17.42344,-0.58464676
15,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,20,-1000,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,424,524,2002.3984,-686.5508,3765.5977,-686.5508,209.56387,-99.16671,39.12214,33.015266,1.3580436,0.911055,11326.413,35.349304,249.98242,-108.60142,37.73585,1.395051,-3676.2803,-17.068382,31.839624,252.7582,-130.79112,0.9027405,17.524809,-0.51546466
16,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,20,-1000,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,420,519,2002.3984,-686.5508,3765.5977,-686.5508,207.92274,-98.216484,38.921,32.947975,1.3489931,0.9018166,10865.771,34.361874,248.61298,-107.09684,37.38095,1.3857696,-4005.3613,-17.555325,31.666666,250.3362,-129.96542,0.8926178,17.470135,-0.54471904
17,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,20,-1000,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,417,514,2002.3984,-686.5508,3765.5977,-686.5508,207.55223,-97.756584,38.910503,32.879375,1.352327,0.9033805,10814.877,34.20209,248.74034,-107.23608,37.410072,1.3864027,-3889.8613,-17.215038,31.654676,251.31851,-130.0488,0.89504987,17.474709,-0.53416044
18,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,20,-1000,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,413,509,2002.3984,-686.5508,3765.5977,-686.5508,207.71657,-96.968765,39.096268,33.005894,1.3750886,0.91723824,11275.277,35.14305,249.36737,-106.11111,37.530266,1.4118571,-3267.5059,-15.774536,31.96126,250.24014,-129.17867,0.90998405,17.473478,-0.48223254
19,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,20,-1000,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,410,504,2002.3984,-686.5508,3765.5977,-686.5508,207.6929,-97.46215,39.285713,33.13492,1.3788892,0.9202955,11299.777,34.94278,250.24118,-106.39596,37.560974,1.414863,-3119.6191,-15.474705,32.19512,249.76418,-129.81471,0.9135564,17.458334,-0.47186834
20,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,20,-1000,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,409,502,2002.3984,-686.5508,3765.5977,-686.5508,208.08931,-96.77138,39.243027,33.06773,1.3888944,0.925601,11478.326,35.43554,251.0297,-105.19225,37.408314,1.4262406,-2886.8203,-14.78219,32.02934,250.8675,-128.59879,0.91925085,17.47012,-0.45075157
21,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,20,-1000,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,404,497,2002.3984,-686.5508,3765.5977,-686.5508,209.09972,-96.84957,39.235413,32.997986,1.3940663,0.9298688,11525.875,36.114166,252.90327,-105.385445,37.376236,1.4322875,-2697.873,-13.60392,31.930695,253.64209,-128.79163,0.92382723,17.531187,-0.4226798
22,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,20,-1000,-8,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,401,491,2002.3984,-686.5508,3765.5977,-686.5508,210.92145,-96.78456,38.900204,32.99389,1.3874801,0.92733717,11250.627,35.005516,253.09627,-105.002846,37.157104,1.4251821,-2770.207,-14.112011,31.670824,254.35115,-128.00293,0.9210155,17.537678,-0.43766204
23,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,20,-1000,-9,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,393,482,2002.3984,-686.5508,3765.5977,-686.5508,212.1508,-96.782715,38.381744,32.365147,1.3654071,0.9132302,10503.431,32.609222,257.57166,-105.31727,36.38677,1.3989253,-3276.3613,-15.6071205,30.788803,261.3959,-128.32819,0.90613556,17.514523,-0.47659427
24,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,20,-1000,-10,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,390,476,2002.3984,-686.5508,3765.5977,-686.5508,212.42207,-96.45193,38.025208,32.142857,1.3512796,0.9040448,9995.079,29.199608,258.41138,-104.730064,35.897438,1.3817463,-3584.4766,-18.415052,30.25641,263.87,-127.65122,0.896764,17.487394,-0.5256591
25,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,20,-1000,-15,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,371,449,2002.3984,-686.5508,3765.5977,-686.5508,217.59738,-98.20496,38.752785,32.73942,1.4019637,0.9445985,10855.581,32.068768,263.11688,-106.07794,36.65768,1.4354717,-1955.9707,-12.84729,30.727762,271.5813,-128.07877,0.94057715,17.652561,-0.37905428
26,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,20,-1000,-20,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,353,421,2002.3984,-686.5508,3765.5977,-686.5508,226.93918,-100.93195,39.667458,33.254154,1.4783033,1.0056492,12262.126,36.067474,272.45294,-108.97326,37.67705,1.5114734,188.39258,-6.0505824,31.444757,284.983,-129.93686,1.0059911,18.028503,-0.17761417
