S.no,Date,TradeType,TradeId,EntryTime,EntryPrice,ExitTime,ExitPrice,Reason,Profit,Profit%,ProfitCost,ProfitCost%,DayATR,UpperBand,LowerBand,SMA,BandRangePercent,BandChangePercent,
1,04-09-20,l,700,04-09-20 13:18,23360.65,04-09-20 14:01,23221.7,SMA Exit,-138.95117,-0.5948087,-185.53516,-0.7942208,2.5655512522289348,23339.096350305597,23008.995649694407,23174.046000000002,1.4244413798574076,31.668030139839825
1,10-09-20,l,701,10-09-20 10:46,22595.45,10-09-20 12:22,22599.4,SMA Exit,3.9511719,0.017486583,-41.24414,-0.18253295,2.63120382090449,22567.808687909277,22325.23531209074,22446.522000000008,1.0806724347697956,-14.90123793427323
1,10-09-20,l,702,10-09-20 10:58,22605.5,10-09-20 12:22,22599.4,SMA Exit,-6.0996094,-0.026982857,-51.304688,-0.22695665,2.63120382090449,22589.69132621143,22360.710673788566,22475.200999999997,1.0188147034718955,-4.737053171066438
1,11-09-20,l,703,11-09-20 15:06,22479.7,14-09-20 10:41,22588.55,SMA Exit,108.85156,0.4842216,63.783203,0.28373688,2.565750203928707,22428.517903111875,22201.64809688813,22315.083000000002,1.0166657512488095,116.34889702562081
1,11-09-20,l,704,11-09-20 15:11,22460.25,14-09-20 10:41,22588.55,SMA Exit,128.30078,0.5712349,83.25195,0.37066352,2.565750203928707,22455.510663106383,22191.57233689361,22323.541499999996,1.1823317828525284,66.61330822317126
1,15-09-20,l,705,15-09-20 14:33,22381.0,16-09-20 10:41,22432.8,SMA Exit,51.80078,0.23144981,6.986328,0.03121544,2.62337619931554,22318.94065114096,22096.07734885905,22207.509000000005,1.0035493052458613,20.385424421268823
1,15-09-20,l,706,15-09-20 14:38,22425.6,16-09-20 10:41,22432.8,SMA Exit,7.201172,0.03211139,-37.658203,-0.16792506,2.62337619931554,22350.250948270015,22078.513051729988,22214.382,1.2232521100070555,47.82091797872995
1,15-09-20,l,707,15-09-20 14:43,22404.1,16-09-20 10:41,22432.8,SMA Exit,28.701172,0.12810679,-16.136719,-0.07202574,2.62337619931554,22382.676202688654,22060.838797311346,22221.7575,1.4482986117426029,51.29159633606476
1,15-09-20,l,708,15-09-20 14:48,22426.75,16-09-20 10:41,22432.8,SMA Exit,6.0507812,0.026980197,-38.808594,-0.173046,2.62337619931554,22407.447515453612,22048.7124845464,22228.080000000005,1.6138822197293397,38.78877075303042
1,15-09-20,l,709,15-09-20 14:56,22461.6,16-09-20 10:41,22432.8,SMA Exit,-28.798828,-0.12821361,-73.69336,-0.328086,2.62337619931554,22454.929983595157,22039.12301640485,22247.026500000004,1.8690451381909698,24.583904247713477
1,15-09-20,l,710,15-09-20 15:01,22487.15,16-09-20 10:41,22432.8,SMA Exit,-54.34961,-0.24169186,-99.26953,-0.44145003,2.62337619931554,22486.281784217786,22037.27721578223,22261.779500000008,2.0169302657748323,19.67333266938518
1,16-09-20,l,711,16-09-20 14:16,22576.95,16-09-20 15:20,22552.6,SMA Exit,-24.34961,-0.10785164,-69.478516,-0.30774096,2.540127489639241,22529.62620095258,22301.49879904742,22415.5625,1.0177188366571814,0.6088568026600908
1,16-09-20,l,712,16-09-20 14:21,22595.3,16-09-20 15:20,22552.6,SMA Exit,-42.70117,-0.18898253,-87.84961,-0.38879594,2.540127489639241,22557.157360797515,22304.647639202485,22430.9025,1.12572252317993,17.650480609693634
1,16-09-20,l,713,16-09-20 14:26,22645.15,16-09-20 15:20,22552.6,SMA Exit,-92.55078,-0.40870026,-137.74805,-0.60828936,2.540127489639241,22581.65076590288,22306.26423409713,22443.957500000004,1.226996316517488,23.67493473962782
1,16-09-20,l,714,16-09-20 14:31,22653.05,16-09-20 15:20,22552.6,SMA Exit,-100.45117,-0.4434333,-145.65625,-0.6429874,2.540127489639241,22617.720582200483,22294.635417799516,22456.178,1.438736210591879,29.76229926104128
1,25-09-20,l,715,25-09-20 12:21,20786.55,25-09-20 13:38,20765.85,SMA Exit,-20.701172,-0.09958926,-62.253906,-0.29949126,2.84326981007793,20689.327696013654,20449.988303986345,20569.658,1.1635555244880997,62.53870344690577
1,25-09-20,l,716,25-09-20 12:26,20782.7,25-09-20 13:38,20765.85,SMA Exit,-16.84961,-0.08107518,-58.398438,-0.28099543,2.84326981007793,20732.14197989354,20436.155020106453,20584.148499999996,1.4379363799628908,67.75242919305411
1,25-09-20,l,717,25-09-20 12:31,20828.2,25-09-20 13:38,20765.85,SMA Exit,-62.34961,-0.2993519,-103.94336,-0.49905112,2.84326981007793,20781.183969097012,20419.536030902975,20600.359999999993,1.7555418361331416,61.19181674630296
1,25-09-20,l,718,25-09-20 12:42,20832.95,25-09-20 13:38,20765.85,SMA Exit,-67.09961,-0.32208407,-108.697266,-0.5217565,2.84326981007793,20829.650694545686,20431.132305454288,20630.391499999987,1.9317054118502694,10.195122660309002
1,25-09-20,l,719,25-09-20 14:28,20934.95,28-09-20 10:48,21404.15,Trade Target,469.20117,2.2412338,426.86133,2.038989,2.84326981007793,20926.66436533085,20716.742634669157,20821.703500000003,1.008187109482622,22.45580580552868
