S.no,Date,TotalTrades,Profit,Profit%,Cost,Cost%,
1,30-10-20,1,44.45117,0.18426616,-3.8399773,-0.01591754,
1,03-09-20,4,-347.69922,-1.4570677,-538.2289,-2.2556255,
1,09-12-20,2,-197.85156,-0.6428468,-320.7488,-1.0422078,
1,12-02-21,2,-112.65234,-0.31197602,-256.9378,-0.7116524,
1,26-09-22,1,-162.39844,-0.41682577,-240.15753,-0.6164056,
1,10-10-18,3,-92.50195,-0.3669681,-243.14615,-0.9665947,
1,23-12-20,1,-126.15039,-0.42281407,-185.69604,-0.62238884,
1,12-02-16,5,-125.60156,-0.88908774,-266.14246,-1.8882065,
1,23-12-21,1,50.148438,0.14287874,-20.098915,-0.057260565,
1,26-09-18,5,760.6504,3.0172381,507.38354,2.0142255,
1,17-05-22,4,-104.20703,-0.30532557,-376.96643,-1.105027,
1,05-10-18,1,-129.44922,-0.51910293,-179.19397,-0.71858925,
1,13-03-18,1,231.94922,0.9396268,182.34677,0.7386828,
1,29-09-20,3,-376.8496,-1.7496696,-505.68256,-2.3479338,
1,23-06-22,1,-277.75,-0.8350433,-343.99576,-1.0342093,
1,30-10-19,1,-136.40039,-0.4530107,-196.48349,-0.65255415,
1,04-03-20,1,-364.4004,-1.2469324,-422.4835,-1.4456884,
1,28-04-20,3,-87.69922,-0.42568764,-211.18683,-1.0252558,
1,30-10-18,1,32.70117,0.13085729,-17.311432,-0.06927785,
1,10-10-19,8,-2352.2422,-8.184642,-2807.099,-9.776445,
1,28-04-21,4,727.9453,2.1748185,459.35004,1.3726599,
1,18-06-20,8,2216.205,10.818138,1885.2551,9.2073145,
1,04-03-21,6,-27.804688,-0.06821731,-461.1942,-1.2681415,
1,04-03-22,7,843.59375,2.4408023,356.72592,1.0383182,
1,28-09-18,3,-314.25195,-1.2415501,-465.7647,-1.8403044,
1,10-03-16,1,-64.34961,-0.42147407,-94.82076,-0.62104964,
1,21-06-22,3,-236.4961,-0.7049006,-437.5574,-1.3042109,
1,21-06-21,5,-1098.7969,-3.176713,-1443.2037,-4.1735573,
1,06-08-20,6,207.64844,0.9628582,-53.427124,-0.23810762,
1,08-02-16,2,223.50098,1.4727108,162.56967,1.0712295,
1,22-01-16,2,-111.40039,-0.7163953,-173.46579,-1.1156791,
1,02-05-16,3,-425.75195,-2.5349894,-526.0717,-3.1324458,
1,08-02-18,2,-84.39844,-0.32442865,-188.36644,-0.7241071,
1,19-11-20,3,-707.3008,-2.3806026,-884.8473,-2.978217,
1,26-04-16,5,228.35352,1.3542007,59.331345,0.35282746,
1,10-03-22,3,4300.246,12.705719,4092.8726,12.09302,
1,20-07-20,7,3018.6992,13.775969,2708.7039,12.362162,
1,28-09-20,9,1667.9512,7.96646,1283.1449,6.1585093,
1,28-03-22,6,13.8046875,0.041984975,-412.68762,-1.1580458,
1,28-09-22,3,-389.94922,-1.0174818,-619.4972,-1.6164513,
1,03-10-18,8,-87.353516,-0.33362913,-490.63565,-1.9332995,
1,22-06-20,7,-201.10156,-0.9001856,-508.5507,-2.2993038,
1,24-05-19,5,-244.25,-0.7839736,-554.8008,-1.783196,
1,22-06-21,3,1705.1445,4.927451,1495.8015,4.322522,
1,31-10-18,3,-64.15039,-0.26057705,-213.42015,-0.8603077,
1,04-09-19,2,106.44922,0.39283228,-2.0493317,-0.007558702,
1,17-06-20,7,57.0,0.28262714,-229.05414,-1.1176584,
1,05-03-20,9,1588.5098,5.54633,1068.5309,3.7407854,
1,11-03-20,5,-257.69922,-0.9718939,-523.41534,-1.9709392,
1,23-11-21,4,-606.85547,-1.625736,-904.8441,-2.4241197,
1,18-11-20,1,174.65039,0.5976163,116.02674,0.39702082,
1,01-11-18,1,152.39844,0.60779953,102.098434,0.40718856,
1,24-05-21,7,1256.8047,3.6839025,770.6157,2.2802448,
1,04-09-20,4,-379.80273,-1.6278449,-565.9561,-2.426229,
1,21-12-21,3,1497.9453,4.3496876,1289.8108,3.7453427,
1,08-02-22,3,-265.2461,-0.69685507,-492.35095,-1.2961495,
