14:20:46.024518,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:21:05.906998700,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:21:25.907325800,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:21:45.907735300,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:22:05.907620700,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:22:05.907620700,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:22:25.909870800,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:22:25.909870800,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:22:45.907549100,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:22:45.907549100,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:23:05.906640300,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:23:05.906640300,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:23:25.909631200,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:23:25.909631200,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:23:45.907603200,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:23:45.907603200,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:24:05.913747400,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:24:05.913747400,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:24:25.908410600,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:24:25.908410600,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:24:45.946401300,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:24:45.946401300,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
