09:25:59.537821,Price 50380.05,RoundedBN 50400.0,BNpremium 1238.050000000003 50400,SkewDiff 444.14990234375,NiftyPremium 151.80000000000146 23600,FNPremium 318.3500000000015 23150,BankexPremium 118327.51 57500,SensexPremium 511.82999999999595 77900,ATRAndEMAInfos |BANKNIFTY:1.67:-2.86|NIFTY:1.36:-4.32|FINNIFTY:1.70:-2.68|BANKEX:1.69:-2.57|Sensex:1.33:-3.75,IndexPrices 50347.8;50386.3;50315.7;50380.05:23618.45;23623.3;23607.1;23620.75:23232.7;23250.5;23215.35;23248.15:57427.13;57457.02;57389.49;57457.02:77861.05;77862.69;77835.44;77857.73
09:26:59.538221,Price 50299.3,RoundedBN 50300.0,BNpremium 1253.5000000000027 50300,SkewDiff 480.4500732421875,NiftyPremium 162.59999999999928 23600,FNPremium 666.1999999999986 22950,BankexPremium 118366.26 57400,SensexPremium 523.1700000000012 77800,ATRAndEMAInfos |BANKNIFTY:1.67:-2.86|NIFTY:1.36:-4.32|FINNIFTY:1.70:-2.68|BANKEX:1.69:-2.57|Sensex:1.33:-3.75,IndexPrices 50380.65;50380.65;50290.35;50300.4:23621.5;23621.85;23596.65;23603.75:23248.3;23248.4;23207.05;23212.45:57458.57;57462.39;57390.52;57405.17:77858.3;77862.15;77787.74;77800.93
09:27:59.537278,Price 50344.65,RoundedBN 50300.0,BNpremium 1209.0499999999984 50300,SkewDiff 497.800048828125,NiftyPremium 165.60000000000073 23600,FNPremium 338.4000000000008 23150,BankexPremium 118327.38 57400,SensexPremium 522.8299999999988 77800,ATRAndEMAInfos |BANKNIFTY:1.67:-2.86|NIFTY:1.36:-4.32|FINNIFTY:1.70:-2.68|BANKEX:1.69:-2.57|Sensex:1.33:-3.75,IndexPrices 50299.3;50343.5;50296.5;50343.5:23603.95;23608.8;23595.85;23600.85:23213.05;23230.75;23210.4;23227.05:57401.94;57451.06;57388.27;57440.82:77805.28;77820.31;77787.74;77793.94
09:28:59.537637,Price 50317.05,RoundedBN 50300.0,BNpremium 1243.949999999997 50300,SkewDiff 454.4500732421875,NiftyPremium 147.89999999999856 23600,FNPremium 658.9499999999986 22950,BankexPremium 118346.73999999999 57400,SensexPremium 496.9400000000023 77800,ATRAndEMAInfos |BANKNIFTY:1.67:-2.86|NIFTY:1.36:-4.32|FINNIFTY:1.70:-2.68|BANKEX:1.69:-2.57|Sensex:1.33:-3.75,IndexPrices 50342.25;50346.5;50305.5;50315.7:23599.7;23601.4;23578.75;23581.15:23228.3;23228.7;23211.85;23217.9:57440.82;57451.4;57410.48;57421.46:77794.03;77802.15;77751.01;77760.15
09:29:59.538075,Price 50293.55,RoundedBN 50300.0,BNpremium 1245.9000000000028 50300,SkewDiff 463.650146484375,NiftyPremium 143.00000000000074 23600,FNPremium 668.35 22950,BankexPremium 118359.54 57400,SensexPremium 477.8800000000017 77700,ATRAndEMAInfos |BANKNIFTY:1.67:-2.86|NIFTY:1.36:-4.32|FINNIFTY:1.70:-2.68|BANKEX:1.69:-2.57|Sensex:1.33:-3.75,IndexPrices 50319.45;50319.45;50259.2;50295.45:23581.6;23587.65;23572.65;23583.65:23217.9;23220.6;23193.4;23212.3:57421.46;57429.96;57344.27;57383.73:77757.44;77768.13;77706.54;77739.23
09:30:59.537555,Price 50325.1,RoundedBN 50300.0,BNpremium 1238.0000000000014 50300,SkewDiff 457.449951171875,NiftyPremium 129.80000000000072 23550,FNPremium 654.3999999999993 22950,BankexPremium 118334.45 57500,SensexPremium 463.7899999999994 77800,ATRAndEMAInfos |BANKNIFTY:1.67:-2.86|NIFTY:1.36:-4.32|FINNIFTY:1.70:-2.68|BANKEX:1.69:-2.57|Sensex:1.33:-3.75,IndexPrices 50296.0;50346.65;50289.15;50327.55:23583.6;23592.8;23576.05;23576.05:23211.8;23235.25;23208.5;23225.65:57391.34;57472.06;57383.74;57457.02:77739.92;77816.53;77731.7;77773.41
09:31:59.538157,Price 50371.4,RoundedBN 50400.0,BNpremium 1229.6000000000015 50400,SkewDiff 454.5999755859375,NiftyPremium 140.29999999999927 23600,FNPremium 323.1500000000008 23150,BankexPremium 118352.5 57500,SensexPremium 460.00999999999476 77800,ATRAndEMAInfos |BANKNIFTY:1.67:-2.86|NIFTY:1.36:-4.32|FINNIFTY:1.70:-2.68|BANKEX:1.69:-2.57|Sensex:1.33:-3.75,IndexPrices 50327.85;50412.95;50325.1;50370.5:23577.2;23600.65;23576.3;23586.65:23224.45;23262.5;23224.45;23243.45:57466.25;57529.34;57452.54;57475.46:77776.14;77841.24;77774.13;77774.87
09:32:59.537585,Price 50381.8,RoundedBN 50400.0,BNpremium 1238.4000000000028 50400,SkewDiff 427.25,NiftyPremium 140.35000000000073 23600,FNPremium 319.6000000000015 23150,BankexPremium 118353.25 57500,SensexPremium 451.06000000000637 77800,ATRAndEMAInfos |BANKNIFTY:1.67:-2.86|NIFTY:1.36:-4.32|FINNIFTY:1.70:-2.68|BANKEX:1.69:-2.57|Sensex:1.33:-3.75,IndexPrices 50373.55;50390.15;50350.05;50380.7:23586.15;23593.55;23576.95;23588.3:23244.25;23252.95;23234.3;23246.3:57484.3;57509.2;57461.01;57487.28:77778.01;77803.24;77754.56;77782.21
09:33:59.537833,Price 50398.75,RoundedBN 50400.0,BNpremium 1262.3000000000002 50400,SkewDiff 430.25,NiftyPremium 135.64999999999927 23600,FNPremium 311.1500000000008 23150,BankexPremium 118345.42 57500,SensexPremium 474.0199999999983 77800,ATRAndEMAInfos |BANKNIFTY:1.67:-2.86|NIFTY:1.36:-4.32|FINNIFTY:1.70:-2.68|BANKEX:1.69:-2.57|Sensex:1.33:-3.75,IndexPrices 50381.8;50407.5;50371.45;50402.25:23588.35;23595.4;23575.35;23586.9:23247.75;23257.5;23240.2;23257.45:57485.05;57525.49;57483.42;57525.49:77779.46;77810.95;77762.97;77795.24
09:34:59.538088,Price 50396.75,RoundedBN 50400.0,BNpremium 1258.1 50400,SkewDiff 492.75,NiftyPremium 136.29999999999853 23600,FNPremium 313.2499999999993 23150,BankexPremium 118345.47 57500,SensexPremium 459.1400000000024 77800,ATRAndEMAInfos |BANKNIFTY:1.67:-2.86|NIFTY:1.36:-4.32|FINNIFTY:1.70:-2.68|BANKEX:1.69:-2.57|Sensex:1.33:-3.75,IndexPrices 50403.25;50436.55;50393.3;50393.3:23585.85;23603.05;23584.95;23587.35:23254.95;23273.4;23252.0;23255.3:57522.78;57570.81;57521.55;57521.83:77798.17;77831.94;77796.29;77796.29
