sno,TradeType(l/s),Positional,costPercent,startTime,cutOffTime,endTime,CandlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap
1,l,FALSE,0.2,09:16,15:10,15:23,1,1.5,1000,-100,100,200,2,10,1000,11,-1000,1000,0,0.5,FALSE,1,0.5,0.4,0.5,1.5,10,5
2,l,FALSE,0.2,09:16,15:10,15:23,60,1.5,1000,-100,100,50,3,1,1000,11,-1000,1000,0,0.5,TRUE,2,1,0.4,0.4,1.5,15,5
3,s,TRUE,0.1,10:40,14:25,15:00,15,1.5,1000,-100,100,100,2,1,1000,11,-1000,1000,0,0.5,FALSE,2,1,0.4,0.8,1,15,5
4,s,FALSE,0.1,09:16,15:10,15:23,5,1.5,1000,-100,100,170,3,0,1000,14,-1000,1000,0,0.5,TRUE,3.5,1.5,0.8,1,2,15,10
