S.no,Date,TradeType,TradeId,HoldingPeriod,EntryTime,EntryPrice,ExitTime,ExitPrice,Reason,Profit,Profit%,ProfitCost,ProfitCost%,DayATR,UpperBand,LowerBand,SMA,BandRangePercent,BandChangePercent,
3,31-07-19,s,75,14,31-07-19 10:45,28637.25,31-07-19 14:15,28941.75,Trade SL,-304.5,-1.0633004,-362.07812,-1.2643607,1.5078672297636901,29578.23186051764,28777.6631394824,29177.94750000002,2.7437458410508144,51.02258671399464
3,02-08-19,s,77,10,02-08-19 10:45,27997.45,02-08-19 13:15,28326.6,Trade SL,-329.1504,-1.1756443,-385.4746,-1.3768204,1.633469756890619,29660.470949535036,28029.810050464966,28845.1405,5.653156375057593,18.93246879615038
3,01-08-19,s,76,36,01-08-19 14:15,28221.85,05-08-19 10:45,27464.6,Trade Target,757.25,2.683205,701.5625,2.4858842,1.5073833725536663,29663.980175130942,28292.898824869044,28978.439499999993,4.731384346151209,17.312016522536368
3,05-08-19,s,78,6,05-08-19 11:00,27487.8,05-08-19 12:30,27757.15,Trade SL,-269.3496,-0.9798878,-324.5957,-1.1808718,1.6795470918985607,29418.15853328506,27596.207466714935,28507.182999999997,6.391199953254321,8.31102096402549
3,22-08-19,s,79,26,22-08-19 10:45,27446.85,23-08-19 11:00,26874.3,Trade Target,572.5488,2.0860276,518.22656,1.8881093,1.7402086880550376,28536.228634163544,27542.918365836475,28039.57350000001,3.5425298759521775,27.102455885287892
3,22-08-19,s,80,25,22-08-19 12:30,27415.25,23-08-19 12:30,26865.35,Trade Target,549.9004,2.0058193,495.61914,1.8078228,1.7402086880550376,28575.906619254274,27417.08838074575,27996.497500000012,4.139154329960465,30.48070276659257
3,22-08-19,s,81,22,22-08-19 14:00,27261.75,23-08-19 13:15,27015.8,Trigger Fallback,245.94922,0.9021769,191.67188,0.7030799,1.7402086880550376,28587.346162313603,27316.207837686423,27951.777000000013,4.547611855329195,20.927420391101943
3,23-08-19,s,83,10,23-08-19 11:00,26874.3,23-08-19 13:30,27099.95,Trade SL,-225.64844,-0.83964396,-279.62305,-1.0404849,1.853287717172576,28648.738146454394,26897.074853545622,27772.90650000001,6.307093904301199,31.624032530380823
3,22-08-19,s,82,36,22-08-19 15:15,27052.8,26-08-19 11:45,27305.6,Trade SL,-252.79883,-0.9344646,-307.15625,-1.1353954,1.7402086880550376,28619.11778862179,27178.326211378222,27898.722000000005,5.164364078195288,24.332835760158638
3,17-09-19,s,84,19,17-09-19 13:00,27493.05,18-09-19 11:30,27212.15,Trigger Fallback,280.9004,1.0217141,226.19531,0.8227363,1.765160622197522,28121.320893156575,27575.314106843434,27848.317500000005,1.9606455087031405,13.774916812349284
3,18-09-19,s,85,50,18-09-19 10:45,27186.65,20-09-19 10:45,27414.3,Trade SL,-227.65039,-0.837361,-282.25195,-1.0382005,1.8952390746925536,28270.909148695504,27218.0728513045,27744.491,3.7947580202174342,41.996744531599184
3,19-09-19,s,86,25,19-09-19 10:45,26829.0,20-09-19 10:45,27414.3,Trade SL,-585.3008,-2.1815975,-639.54297,-2.383775,1.8428193315764878,28276.718290524295,26850.562709475722,27563.64050000001,5.174046516274122,21.48748017389671
3,30-09-19,s,88,6,30-09-19 12:45,29056.65,30-09-19 14:15,29325.5,Trade SL,-268.8496,-0.9252601,-327.23242,-1.1261877,2.4902766065118027,30458.11011371149,29166.6068862885,29812.358499999995,4.332106859049709,37.26337507056371
3,30-09-19,s,87,36,30-09-19 11:00,29201.3,01-10-19 13:45,28542.8,Trade Target,658.5,2.2550366,600.75586,2.0572913,2.4902766065118027,30410.480089567085,29343.360910432908,29876.920499999997,3.5717174369901254,9.850588985622291
3,01-10-19,s,89,3,01-10-19 13:30,28695.35,01-10-19 14:15,28463.55,Trigger Fallback,231.79883,0.8077923,174.64062,0.6086025,2.602895939558901,30464.137351440047,28747.818648559958,29605.978000000003,5.797203196192638,10.740298476651553
3,04-10-19,s,92,8,04-10-19 15:15,27682.15,07-10-19 11:00,28014.0,Trade SL,-331.8496,-1.1987854,-387.54492,-1.3999813,2.919706364454695,29624.698420835208,27760.422579164777,28692.560499999992,6.497418875078894,-6.870024431306199
