S.no,Date,TotalTrades,Profit,Profit%,Cost,Cost%,
3,24-06-22,2,-101.5,-0.3023755,-236.042,-0.70268077,
3,24-06-20,6,861.25,3.863624,595.09424,2.6674938,
3,13-04-16,1,-55.5,-0.34263277,-87.951706,-0.54297817,
3,08-09-21,2,-170.80469,-0.46528134,-317.82428,-0.86574644,
3,27-08-20,1,58.19922,0.24621198,10.981716,0.04645291,
3,08-09-22,2,-255.70312,-0.64047825,-415.65332,-1.0411162,
3,04-02-20,4,-310.4004,-1.0198793,-554.5235,-1.8209119,
3,04-02-21,4,-429.79688,-1.241757,-707.2332,-2.042991,
3,01-09-20,6,-257.9043,-1.0919912,-545.3324,-2.2930896,
3,01-09-21,3,467.85156,1.2655609,247.1367,0.6668159,
3,22-10-21,3,-40.05078,-0.10369676,-282.27386,-0.70380926,
3,10-02-16,4,392.8506,2.674129,275.73373,1.8768005,
3,09-03-16,5,-163.7002,-1.0773443,-315.9427,-2.0784323,
3,21-05-21,4,-340.10156,-1.0083047,-610.39343,-1.809305,
3,11-07-22,2,-217.7461,-0.6165409,-359.23145,-1.0171547,
3,21-05-20,4,-237.95117,-1.3165841,-382.79053,-2.1179142,
3,12-01-22,3,-220.05078,-0.5691137,-452.48572,-1.1696693,
3,10-02-22,3,-127.65625,-0.3276183,-362.1,-0.92793983,
3,29-07-20,4,-236.94922,-1.064715,-415.2467,-1.8657858,
3,29-07-21,1,-28.0,-0.08071735,-97.4059,-0.2807991,
3,28-02-22,4,-436.90234,-1.2138307,-725.3154,-2.015036,
3,19-09-22,4,587.1953,1.428633,258.98767,0.63005346,
3,06-10-22,3,-385.19922,-0.9790892,-621.64325,-1.5800717,
3,07-04-16,2,318.75,2.0310857,256.29443,1.6331136,
3,06-10-21,1,481.65234,1.2673627,406.1254,1.068629,
3,06-10-20,3,-130.34766,-0.5735282,-267.1066,-1.1741139,
3,17-02-16,8,-56.70117,-0.40424567,-282.03607,-2.0046573,
3,27-08-19,3,-126.25,-0.45101458,-295.29596,-1.051469,
3,03-06-22,2,935.25,2.611484,792.93353,2.2141066,
3,03-06-21,3,-357.80078,-1.006766,-571.38477,-1.6077781,
3,09-03-21,4,867.0039,2.4034822,580.1189,1.6058807,
3,09-03-20,3,-309.5,-1.1734846,-468.0445,-1.774667,
3,03-06-20,6,853.8008,3.9610944,597.73315,2.7650516,
3,27-11-20,1,6.0996094,0.020581583,-53.16679,-0.17940181,
3,09-03-22,4,-389.64453,-1.1618814,-658.38464,-1.9630497,
3,04-11-20,6,-266.79883,-1.0443745,-575.1132,-2.2454038,
3,26-06-20,7,-179.75,-0.8392934,-482.98865,-2.240122,
3,08-10-20,4,-234.30273,-1.0102208,-420.22763,-1.8112348,
3,17-02-22,1,416.0,1.0974401,340.6032,0.8985331,
