S.no,Date,TradeType,TradeId,HoldingPeriod,EntryDate,EntryTime,EntryPrice,ExitDate,ExitTime,ExitPrice,Reason,Profit,Profit%,ProfitCost,ProfitCost%,DayATR,UpperBand,LowerBand,SMA,BandRangePercent,BandChangePercent,
2,16-10-15,l,20,51,16-10-15,14:15,17845.9,20-10-15,14:30,17791.5,Trade SL,-54.40039,-0.3048341,-72.2207,-0.4046907,0.0,17758.325208944592,17570.941457722078,17664.633333333335,1.0607848330987975,-19.86237981616107
3,16-10-15,l,20,51,16-10-15,14:15,17845.9,20-10-15,14:30,17791.5,Trade SL,-54.40039,-0.3048341,-72.2207,-0.4046907,0.0,17758.325208944592,17570.941457722078,17664.633333333335,1.0607848330987975,-19.86237981616107
5,16-10-15,l,20,66,16-10-15,14:15,17845.9,21-10-15,12:00,17739.5,Trade SL,-106.40039,-0.5962175,-124.19336,-0.69592094,0.0,17758.325208944592,17570.941457722078,17664.633333333335,1.0607848330987975,-19.86237981616107
4,16-10-15,l,20,66,16-10-15,14:15,17845.9,21-10-15,12:00,17739.5,Trade SL,-106.40039,-0.5962175,-124.19336,-0.69592094,0.0,17758.325208944592,17570.941457722078,17664.633333333335,1.0607848330987975,-19.86237981616107
2,20-11-15,l,21,3,20-11-15,11:30,17251.5,20-11-15,12:15,17208.75,Trade SL,-42.75,-0.24780454,-59.978516,-0.3476713,0.0,17191.65743976606,16895.762560233932,17043.709999999995,1.7360943100541297,-19.34528577727244
1,20-11-15,l,21,3,20-11-15,11:30,17251.5,20-11-15,12:15,17208.75,Trade SL,-42.75,-0.24780454,-59.978516,-0.3476713,0.0,17191.65743976606,16895.762560233932,17043.709999999995,1.7360943100541297,-19.34528577727244
3,20-11-15,l,21,8,20-11-15,11:30,17251.5,20-11-15,13:30,17195.05,Trade SL,-56.44922,-0.32721338,-73.671875,-0.42704618,0.0,17191.65743976606,16895.762560233932,17043.709999999995,1.7360943100541297,-19.34528577727244
5,20-11-15,l,21,12,20-11-15,11:30,17251.5,20-11-15,14:30,17123.85,Trade SL,-127.65039,-0.7399379,-144.83789,-0.8395669,0.0,17191.65743976606,16895.762560233932,17043.709999999995,1.7360943100541297,-19.34528577727244
4,20-11-15,l,21,12,20-11-15,11:30,17251.5,20-11-15,14:30,17123.85,Trade SL,-127.65039,-0.7399379,-144.83789,-0.8395669,0.0,17191.65743976606,16895.762560233932,17043.709999999995,1.7360943100541297,-19.34528577727244
2,15-12-15,l,22,1,15-12-15,15:00,16418.1,15-12-15,15:15,16346.0,Trade SL,-72.09961,-0.43914708,-88.481445,-0.53892624,0.0,16398.03106768688,16187.098932313122,16292.565,1.2946527165842687,-14.162757366034038
