Sr.No,TradeType(l/s),positional,costPercent,startTime,cutOffTime,endTime,candlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap
1058,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,200,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5
1059,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,175,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5
1060,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,200,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5
1061,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,15,150,175,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5
1062,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,3.5,15,150,175,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5
1063,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,20,175,200,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5
1064,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,2,1000,20,175,200,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5
1065,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,20,50,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5
1066,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,20,50,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5
1067,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5.5,20,50,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5
1068,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5,20,50,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5
1069,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,2,20,50,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5
1070,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,30,100,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5
1071,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,30,100,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5
1072,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1.5,20,50,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5
1073,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1.5,1000,30,100,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5
1074,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,1.5,1000,30,175,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5
1075,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,2.5,1000,30,175,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5
1076,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,175,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5
1077,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,200,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5
1078,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,175,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5
1079,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,200,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5
1080,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,15,150,175,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5
1081,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,3.5,15,150,175,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5
1082,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,20,175,200,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5
1083,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,2,1000,20,175,200,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5
1084,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,20,50,1000,0.15,0.5,TRUE,1000,1000,1000,1.5,1000,10,5
1085,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,20,50,1000,0.15,0.5,TRUE,1000,1000,1000,1.5,1000,10,5
1086,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5.5,20,50,1000,0.15,0.5,TRUE,1000,1000,1000,1.5,1000,10,5
1087,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5,20,50,1000,0.15,0.5,TRUE,1000,1000,1000,1.5,1000,10,5
1088,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,2,20,50,1000,0.15,0.5,TRUE,1000,1000,1000,1.5,1000,10,5
1089,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,30,100,1000,0.15,0.5,TRUE,1000,1000,1000,1.5,1000,10,5
1090,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,30,100,1000,0.15,0.5,TRUE,1000,1000,1000,1.5,1000,10,5
1091,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1.5,20,50,1000,0.15,0.5,TRUE,1000,1000,1000,1.5,1000,10,5
1092,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1.5,1000,30,100,1000,0.15,0.5,TRUE,1000,1000,1000,1.5,1000,10,5
