Sr.No,TradeType(l/s),positional,costPercent,startTime,cutOffTime,endTime,candlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap,TradingDays,TotalTrades,TradeMaxProfit,TradeMaxLoss,DayMaxProfit,DayMaxLoss,TradeAverageProfit,TradeAverageLoss,TradeWinPercent,TradeWinPercent(Cost),TradeExpectancy,TradeExpectancy(Cost),Profit,Profit %,DayAverageProfit,DayAverageLoss,DayWinPercent,DayExpectancy,ProfitCost,ProfitCost %,DayWinPercent(Cost),DayAverageProfit(Cost),DayAverageLoss(Cost),DayExpectancy(Cost),HoldingPeriodAvg,Calmar
1198,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,20,50,1000,0.2,0.25,TRUE,1000,1000,1000,1.5,1000,10,5,150,194,845.4512,-603.60156,1276.3516,-603.60156,186.7061,-133.62291,58.24742,51.03093,1.9492654,1.3352418,10274.334,35.342464,251.94441,-158.762,55.333336,1.9659004,4510.0137,15.924876,48.666668,243.09825,-171.89815,1.3407345,137.1134,3.1129482
1199,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,20,50,1000,0.2,0.25,TRUE,1000,1000,1000,1.5,1000,10,5,150,194,845.4512,-603.60156,1276.3516,-603.60156,186.7061,-133.62291,58.24742,51.03093,1.9492654,1.3352418,10274.334,35.342464,251.94441,-158.762,55.333336,1.9659004,4510.0137,15.924876,48.666668,243.09825,-171.89815,1.3407345,137.1134,3.1129482
1200,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5.5,20,50,1000,0.2,0.25,TRUE,1000,1000,1000,1.5,1000,10,5,150,194,845.4512,-603.60156,1276.3516,-603.60156,186.7061,-133.62291,58.24742,51.03093,1.9492654,1.3352418,10274.334,35.342464,251.94441,-158.762,55.333336,1.9659004,4510.0137,15.924876,48.666668,243.09825,-171.89815,1.3407345,137.1134,3.1129482
1201,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5,20,50,1000,0.2,0.25,TRUE,1000,1000,1000,1.5,1000,10,5,150,194,845.4512,-603.60156,1276.3516,-603.60156,186.7061,-133.62291,58.24742,51.03093,1.9492654,1.3352418,10274.334,35.342464,251.94441,-158.762,55.333336,1.9659004,4510.0137,15.924876,48.666668,243.09825,-171.89815,1.3407345,137.1134,3.1129482
1202,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,2,20,50,1000,0.2,0.25,TRUE,1000,1000,1000,1.5,1000,10,5,113,143,815.9492,-384.69922,914.0508,-486.30078,162.85722,-122.17048,62.237762,54.545456,2.197035,1.4379543,7897.087,26.659098,219.39912,-140.06926,58.40708,2.1995718,3664.6006,12.3458185,52.212387,202.75963,-153.6707,1.4416128,134.0979,2.3346844
1203,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,30,100,1000,0.2,0.25,TRUE,1000,1000,1000,1.5,1000,10,5,94,117,815.9492,-427.19922,1276.3516,-486.30078,202.23317,-125.225464,58.11966,52.136757,2.2411585,1.5286002,7615.8076,27.165646,251.47044,-149.08992,57.446808,2.277049,4089.377,15.452122,51.06383,243.10376,-164.77399,1.5395241,144.39316,5.6418705
1204,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,30,100,1000,0.2,0.25,TRUE,1000,1000,1000,1.5,1000,10,5,94,117,815.9492,-427.19922,1276.3516,-486.30078,202.23317,-125.225464,58.11966,52.136757,2.2411585,1.5286002,7615.8076,27.165646,251.47044,-149.08992,57.446808,2.277049,4089.377,15.452122,51.06383,243.10376,-164.77399,1.5395241,144.39316,5.6418705
1205,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1.5,20,50,1000,0.2,0.25,TRUE,1000,1000,1000,1.5,1000,10,5,78,94,642.3008,-384.69922,914.0508,-384.69922,165.64638,-137.03133,60.638298,53.19149,1.8622383,1.2439371,4371.6846,14.505346,205.25748,-158.44247,58.97436,1.8622383,1533.3301,5.0981193,53.846157,185.63751,-173.98459,1.2448064,126.26596,0.9421826
1206,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1.5,1000,30,100,1000,0.2,0.25,TRUE,1000,1000,1000,1.5,1000,10,5,64,80,815.9492,-427.19922,1276.3516,-486.30078,221.7336,-119.6548,61.25,53.750004,2.9291108,2.004834,7155.6475,24.846815,269.5449,-151.08952,62.5,2.9733462,4762.9746,16.834482,53.125,276.81183,-154.95427,2.024598,157.075,6.1104016
1207,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,1.5,1000,30,175,1000,0.2,0.25,TRUE,1000,1000,1000,1.5,1000,10,5,49,57,1506.75,-321.65234,3915.6504,-545.0508,280.53345,-118.22079,57.894737,54.385967,3.2628226,2.353106,6420.3047,23.179197,329.61978,-133.76424,57.14286,3.2855802,4831.295,17.467636,51.02041,336.03458,-148.73206,2.3534672,108.36842,8.115678
1208,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,2.5,1000,30,175,1000,0.2,0.25,TRUE,1000,1000,1000,1.5,1000,10,5,17,19,1506.75,-192.69922,3915.6504,-192.69922,409.7036,-109.00938,73.68421,68.42105,10.523592,7.2553415,5190.8037,18.832184,477.98755,-109.00938,70.588234,10.52359,4631.299,16.922775,64.70589,488.33398,-123.395836,7.2553434,123.89474,17.462585
1209,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,175,1000,0.2,0.25,TRUE,1000,1000,1000,1.5,1000,10,5,9,11,1506.75,-109.75,3915.6504,-109.75,585.5113,-66.049805,81.818184,81.818184,39.891125,24.667017,5137.502,18.296879,752.80023,-66.049805,77.77778,39.891125,4817.8555,17.187725,77.77778,717.34625,-101.78418,24.667017,133.63637,45.133995
1210,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,200,1000,0.2,0.25,TRUE,1000,1000,1000,1.5,1000,10,5,7,9,1506.75,-109.75,3915.6504,-109.75,642.0433,-66.049805,77.77778,77.77778,34.02208,21.143648,4362.203,15.806066,898.86053,-66.049805,71.42857,34.022076,4100.6094,14.898158,71.42857,860.8356,-101.78418,21.14365,136.88889,39.12172
1211,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,175,1000,0.2,0.25,TRUE,1000,1000,1000,1.5,1000,10,5,5,6,1441.8516,-109.75,2424.502,-109.75,846.6377,-66.049805,66.66667,66.66667,25.636349,16.024,3254.4512,11.290294,1128.8502,-66.049805,60.000004,25.636347,3058.4102,10.684655,60.000004,1087.3262,-101.78418,16.023998,136.83333,28.0573
1212,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,200,1000,0.2,0.25,TRUE,1000,1000,1000,1.5,1000,10,5,4,5,1441.8516,-109.75,2424.502,-109.75,907.1009,-66.049805,60.000004,60.000004,20.600388,12.916645,2589.2031,9.234308,1360.6514,-66.049805,50.0,20.600384,2425.8516,8.729698,50.0,1314.71,-101.78418,12.916643,139.2,22.923695
1213,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,15,150,175,0.2,0.25,TRUE,1000,1000,1000,1.5,1000,10,5,3,3,1331.3008,35.148438,1331.3008,0.0,538.96747,NaN,100.0,66.66667,NaN,1114.677,1616.9023,5.6348205,538.96747,NaN,100.0,NaN,1513.9043,5.3320127,66.66667,757.63184,-1.359375,1114.677,74.666664,1431.2096
1214,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,3.5,15,150,175,0.2,0.25,TRUE,1000,1000,1000,1.5,1000,10,5,3,3,1331.3008,35.148438,1331.3008,0.0,538.96747,NaN,100.0,66.66667,NaN,1114.677,1616.9023,5.6348205,538.96747,NaN,100.0,NaN,1513.9043,5.3320127,66.66667,757.63184,-1.359375,1114.677,74.666664,1431.2096
1216,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,2,1000,20,175,200,0.2,0.25,TRUE,1000,1000,1000,1.5,1000,10,5,1,1,1279.4512,1279.4512,1279.4512,0.0,1279.4512,NaN,100.0,100.0,NaN,NaN,1279.4512,4.688077,1279.4512,NaN,100.0,NaN,1251.5195,4.585732,100.0,1251.5195,NaN,NaN,99.0,Infinity
1217,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,20,50,1000,0.2,0.3,TRUE,1000,1000,1000,1.5,1000,10,5,187,294,836.10156,-592.39844,1945.5977,-714.64844,189.6343,-134.9625,59.523808,51.70068,2.0663068,1.4238156,17125.46,59.439137,331.55508,-178.39192,52.941177,2.090899,8455.169,30.009485,45.989304,324.89087,-192.9252,1.4339223,139.80952,4.386145
1218,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,20,50,1000,0.2,0.3,TRUE,1000,1000,1000,1.5,1000,10,5,186,293,836.10156,-592.39844,1945.5977,-714.64844,189.6343,-133.14099,59.726967,51.877136,2.1123273,1.4519721,17475.36,60.381145,331.55508,-176.42058,53.22581,2.138565,8842.036,31.051012,46.23656,324.89087,-190.98578,1.4629685,139.90443,5.353296
1219,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5.5,20,50,1000,0.2,0.3,TRUE,1000,1000,1000,1.5,1000,10,5,185,292,836.10156,-592.39844,1945.5977,-714.64844,190.21465,-133.14099,59.58904,51.71233,2.1066837,1.4482044,17386.71,59.786106,334.0337,-176.42058,52.972973,2.132789,8768.329,30.556273,45.945946,327.84598,-190.98578,1.459109,139.83904,5.268001
1215,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,20,175,200,0.2,0.25,TRUE,1000,1000,1000,1.5,1000,10,5,3,3,1279.4512,-85.05078,1279.4512,-85.05078,646.5259,-85.05078,66.66667,33.333336,15.203295,9.764089,1208.001,4.5678673,646.5259,-85.05078,66.66667,15.203295,1123.3438,4.265587,33.333336,1251.5195,-64.08789,9.764089,63.333332,13.899594
1220,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5,20,50,1000,0.2,0.3,TRUE,1000,1000,1000,1.5,1000,10,5,183,290,836.10156,-592.39844,1945.5977,-714.64844,189.8335,-129.6529,59.65517,51.724136,2.164965,1.4805973,17671.809,60.53876,334.83658,-172.17838,53.005463,2.193449,9124.556,31.508553,45.901638,329.11618,-187.08286,1.4926546,140.04138,6.1800675
1221,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,2,20,50,1000,0.2,0.3,TRUE,1000,1000,1000,1.5,1000,10,5,140,219,823.14844,-384.69922,1631.2969,-714.64844,178.41211,-122.861946,63.92694,56.164383,2.5734036,1.7087911,15271.601,50.943413,313.64804,-155.84583,56.42857,2.6064215,8750.064,29.017988,50.714283,293.26096,-174.94873,1.7248553,138.38356,6.5765114
1222,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,30,100,1000,0.2,0.3,TRUE,1000,1000,1000,1.5,1000,10,5,123,180,823.14844,-541.25,1631.2969,-765.9492,188.1986,-130.0879,58.333332,51.111115,2.0253844,1.3816863,10004.259,34.057972,288.00226,-174.17992,55.284554,2.0442972,4649.4727,16.041014,49.5935,272.4477,-193.06189,1.3884324,143.12778,2.463742
1223,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,30,100,1000,0.2,0.3,TRUE,1000,1000,1000,1.5,1000,10,5,122,179,823.14844,-541.25,1631.2969,-765.9492,188.1986,-127.11749,58.659218,51.39665,2.1007223,1.4270061,10354.157,34.99997,288.00226,-170.92587,55.737705,2.121794,5036.34,17.082542,50.0,272.4477,-189.88475,1.4348055,143.30168,3.1233475
1224,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1.5,20,50,1000,0.2,0.3,TRUE,1000,1000,1000,1.5,1000,10,5,101,145,823.14844,-384.69922,1236.6016,-714.64844,184.18446,-136.90686,64.82758,57.931034,2.4796216,1.6786425,10331.091,34.670486,283.82526,-174.55624,60.396038,2.479622,5907.164,20.153124,56.435646,255.54504,-196.79326,1.6822071,134.34483,5.1781487
1225,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1.5,1000,30,100,1000,0.2,0.3,TRUE,1000,1000,1000,1.5,1000,10,5,87,121,817.5,-541.25,1608.1992,-765.9492,203.23877,-135.84204,57.85124,49.586777,2.053526,1.4454794,7298.7695,25.002523,282.52533,-184.52695,57.471264,2.0690255,3815.3154,12.8901005,48.27586,292.06018,-187.8047,1.4514519,149.71901,2.0852816
1226,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,1.5,1000,30,175,1000,0.2,0.3,TRUE,1000,1000,1000,1.5,1000,10,5,61,79,1552.5508,-446.5,4002.252,-949.00195,280.66632,-140.57286,58.227848,55.6962,2.783125,2.067664,8271.747,30.313843,378.89417,-170.76497,55.737705,2.7940507,6030.134,22.398771,50.81967,376.68228,-188.23389,2.0678442,107.75949,6.2625895
1227,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,2.5,1000,30,175,1000,0.2,0.3,TRUE,1000,1000,1000,1.5,1000,10,5,21,25,1552.5508,-246.65039,4002.252,-246.65039,371.9817,-131.94987,76.0,72.0,8.927194,6.455453,6275.953,22.715237,471.17682,-131.94987,71.42857,8.927195,5539.9053,20.203915,66.66667,468.24185,-145.06863,6.4554543,119.88,13.303789
1228,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,175,1000,0.2,0.3,TRUE,1000,1000,1000,1.5,1000,10,5,11,14,1506.75,-103.35156,3915.6504,-103.35156,502.3042,-66.05078,85.71429,85.71429,45.628914,27.968327,5895.549,21.028612,669.73895,-66.05078,81.818184,45.628918,5489.8975,19.618101,81.818184,632.6073,-101.78418,27.968325,128.78572,53.824196
1229,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,200,1000,0.2,0.3,TRUE,1000,1000,1000,1.5,1000,10,5,10,12,1506.75,-103.35156,3915.6504,-103.35156,525.23517,-66.05078,83.33333,83.33333,39.759937,24.444948,5120.25,18.5378,656.54395,-66.05078,80.0,39.75995,4772.6514,17.328533,80.0,622.02747,-101.78418,24.444956,130.41667,47.54254
1232,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,15,150,175,0.2,0.3,TRUE,1000,1000,1000,1.5,1000,10,5,4,4,1331.3008,-181.44922,1331.3008,-181.44922,538.96747,-181.44922,75.0,50.0,8.911047,7.1663527,1435.4531,5.003093,538.96747,-181.44922,75.0,8.911047,1303.8223,4.600598,50.0,757.63184,-105.7207,7.1663527,63.5,6.2899985
1233,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,3.5,15,150,175,0.2,0.3,TRUE,1000,1000,1000,1.5,1000,10,5,4,4,1331.3008,-181.44922,1331.3008,-181.44922,538.96747,-181.44922,75.0,50.0,8.911047,7.1663527,1435.4531,5.003093,538.96747,-181.44922,75.0,8.911047,1303.8223,4.600598,50.0,757.63184,-105.7207,7.1663527,63.5,6.2899985
1234,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,20,175,200,0.2,0.3,TRUE,1000,1000,1000,1.5,1000,10,5,4,4,1279.4512,-181.44922,1279.4512,-181.44922,646.5259,-133.25,50.0,25.0,4.8519764,3.6998985,1026.5518,3.9361396,646.5259,-133.25,50.0,4.8519764,913.2617,3.534172,25.0,1251.5195,-112.7526,3.6998985,55.0,3.4038045
1230,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,175,1000,0.2,0.3,TRUE,1000,1000,1000,1.5,1000,10,5,7,9,1441.8516,-103.35156,2424.502,-103.35156,592.08563,-66.05078,77.77778,77.77778,31.374342,19.325306,4012.498,14.022022,828.9199,-66.05078,71.42857,31.374346,3730.4521,13.115031,71.42857,786.8041,-101.78418,19.325306,128.22223,35.98229
1231,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,200,1000,0.2,0.3,TRUE,1000,1000,1000,1.5,1000,10,5,7,8,1441.8516,-103.35156,2424.502,-103.35156,579.8919,-66.05078,75.0,75.0,26.338457,16.217953,3347.25,11.966038,695.8703,-66.05078,71.42857,26.33846,3097.8936,11.160075,71.42857,660.29236,-101.78418,16.217953,128.625,30.618689
1235,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,2,1000,20,175,200,0.2,0.3,TRUE,1000,1000,1000,1.5,1000,10,5,1,1,1279.4512,1279.4512,1279.4512,0.0,1279.4512,NaN,100.0,100.0,NaN,NaN,1279.4512,4.688077,1279.4512,NaN,100.0,NaN,1251.5195,4.585732,100.0,1251.5195,NaN,NaN,99.0,Infinity
1236,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,20,50,1000,0.2,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,198,356,836.10156,-606.25,1756.0469,-1170.8516,178.72505,-146.56326,60.955055,52.528088,1.9037294,1.3179317,18411.041,64.32086,363.29602,-206.08241,52.525253,1.9504068,7961.9375,28.688652,43.939392,366.60007,-215.60603,1.3326862,139.72191,3.5964797
1237,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,20,50,1000,0.2,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,197,355,836.10156,-606.25,1756.0469,-1170.8516,178.72505,-145.08981,61.126762,52.676056,1.936998,1.338611,18760.94,65.262856,363.29602,-204.536,52.791874,1.9862833,8348.805,29.730179,44.162437,366.60007,-214.04912,1.3545831,139.8,3.727048
1238,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5.5,20,50,1000,0.2,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,196,354,836.10156,-606.25,1756.0469,-1170.8516,179.14207,-145.08981,61.01695,52.54237,1.9325705,1.3356216,18672.29,64.66782,365.9625,-204.536,52.551018,1.9816232,8275.098,29.235443,43.877552,370.0058,-214.04912,1.3514527,139.74576,3.6650267
1239,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5,20,50,1000,0.2,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,194,352,836.10156,-606.25,1756.0469,-1170.8516,178.78389,-142.26747,61.079544,52.55682,1.9721532,1.3579274,18947.887,65.39475,367.03906,-200.97932,52.577316,2.0247583,8621.816,30.162008,43.814434,371.75705,-210.80307,1.375228,139.90909,3.7811823
1240,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,2,20,50,1000,0.2,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,150,269,818.5469,-384.69922,1634.4961,-911.25,171.59962,-130.33025,66.171005,57.992565,2.57543,1.7122456,18684.68,62.539005,343.84756,-186.6759,58.666664,2.6143794,10691.047,35.60768,50.0,336.20312,-193.65582,1.7360858,140.19702,5.3553276
1241,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,30,100,1000,0.2,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,128,213,818.5469,-531.75,1634.4961,-672.4004,182.68929,-131.40387,59.154926,50.23474,2.013521,1.3704191,11586.713,39.346085,318.23102,-193.11736,55.46875,2.0526018,5307.587,18.026468,46.875,317.78857,-202.34894,1.3857335,141.07982,3.5483766
1242,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,30,100,1000,0.2,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,127,212,818.5469,-531.75,1634.4961,-672.4004,182.68929,-128.86324,59.43396,50.4717,2.0770938,1.4084467,11936.611,40.288086,318.23102,-190.3177,55.90551,2.1199892,5694.454,19.067997,47.244095,317.78857,-199.59492,1.4258218,141.21698,4.56109
1243,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1.5,20,50,1000,0.2,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,115,176,818.5469,-384.69922,1603.207,-714.64844,184.36609,-134.6772,66.47727,60.227276,2.7146933,1.8302916,13624.877,45.440594,303.59903,-180.24214,61.73913,2.7180016,8290.456,27.817781,55.652172,283.97952,-193.8085,1.8387555,140.10796,7.883499
1244,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1.5,1000,30,100,1000,0.2,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,91,144,817.5,-531.75,1608.1992,-672.4004,192.69133,-134.42104,59.02778,49.305553,2.0651987,1.4404134,8447.922,28.547024,302.59467,-199.72618,58.24176,2.113093,4341.6025,14.132871,47.252747,320.57697,-196.73347,1.4597594,147.84027,2.5393252
1248,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,200,1000,0.2,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,12,14,1506.75,-113.55078,3915.6504,-113.55078,483.88193,-80.05078,78.57143,71.42857,22.16385,14.592088,5082.549,18.34827,591.41125,-80.05078,75.0,22.163853,4671.218,16.939093,66.66667,626.8612,-85.91797,14.59209,124.35714,32.904766
1249,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,175,1000,0.2,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,7,9,1441.8516,-97.85156,2424.502,-97.85156,592.08563,-63.30078,77.77778,77.77778,32.73735,19.861935,4017.998,14.03607,828.9199,-63.30078,71.42857,32.737354,3735.9521,13.129065,71.42857,786.8041,-99.03418,19.861935,128.33333,37.46319
1245,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,1.5,1000,30,175,1000,0.2,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,69,94,1552.5508,-446.5,4002.252,-1148.752,271.76227,-137.09639,56.382977,53.19149,2.5624483,1.8868905,8782.448,32.831165,397.97092,-168.0153,52.173912,2.5839913,6106.1094,23.414831,47.826088,393.36978,-190.97482,1.8881493,107.010635,5.4185095
1246,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,2.5,1000,30,175,1000,0.2,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,26,31,1552.5508,-246.65039,4002.252,-246.65039,356.9101,-111.52273,64.51613,58.064514,5.818791,4.1170125,5911.452,21.516289,446.13763,-122.675,61.538464,5.818792,4992.548,18.405575,53.846157,471.01834,-133.47575,4.1170135,111.80645,9.971045
1247,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,175,1000,0.2,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,13,16,1506.75,-113.55078,3915.6504,-113.55078,469.07693,-80.05078,81.25,75.0,25.392218,16.679094,5857.8477,20.83908,609.8,-80.05078,76.92308,25.39222,5388.464,19.22866,69.230774,636.904,-85.91797,16.6791,123.6875,37.35233
1250,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,200,1000,0.2,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,7,8,1441.8516,-97.85156,2424.502,-97.85156,579.8919,-63.30078,75.0,75.0,27.482689,16.668295,3352.75,11.980085,695.8703,-63.30078,71.42857,27.482693,3103.3936,11.1741085,71.42857,660.29236,-99.03418,16.668297,128.75,31.88481
1251,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,15,150,175,0.2,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,4,4,1331.3008,-181.44922,1331.3008,-181.44922,538.96747,-181.44922,75.0,50.0,8.911047,7.1663527,1435.4531,5.003093,538.96747,-181.44922,75.0,8.911047,1303.8223,4.600598,50.0,757.63184,-105.7207,7.1663527,63.5,6.2899985
1252,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,3.5,15,150,175,0.2,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,4,4,1331.3008,-181.44922,1331.3008,-181.44922,538.96747,-181.44922,75.0,50.0,8.911047,7.1663527,1435.4531,5.003093,538.96747,-181.44922,75.0,8.911047,1303.8223,4.600598,50.0,757.63184,-105.7207,7.1663527,63.5,6.2899985
1253,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,20,175,200,0.2,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,5,5,1279.4512,-181.44922,1279.4512,-181.44922,646.5259,-101.96615,40.0,20.0,4.227062,3.1302357,987.1533,3.7585027,646.5259,-101.96615,40.0,4.227062,851.7031,3.2566211,20.0,1251.5195,-99.9541,3.1302357,52.2,2.4749155
1254,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,2,1000,20,175,200,0.2,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,1,1,1279.4512,1279.4512,1279.4512,0.0,1279.4512,NaN,100.0,100.0,NaN,NaN,1279.4512,4.688077,1279.4512,NaN,100.0,NaN,1251.5195,4.585732,100.0,1251.5195,NaN,NaN,99.0,Infinity
1255,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,20,50,1000,0.2,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,202,416,847.9492,-592.39844,2547.4531,-1154.9492,183.38159,-154.02357,60.817307,53.365387,1.8479978,1.2964544,21289.697,73.06036,433.14893,-242.42645,51.48515,1.8961143,9039.789,31.423866,44.059406,426.41925,-255.8542,1.3126708,139.14183,2.810209
1256,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,20,50,1000,0.2,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,201,415,847.9492,-592.39844,2547.4531,-1154.9492,183.38159,-152.71077,60.963856,53.493977,1.8753899,1.3138477,21656.396,74.04715,433.14893,-241.1453,51.741295,1.9258394,9443.469,32.510162,44.278606,426.41925,-254.53433,1.3312585,139.20482,3.2201867
1257,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5.5,20,50,1000,0.2,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,201,415,847.9492,-592.39844,2547.4531,-1154.9492,183.38159,-152.71077,60.963856,53.493977,1.8753899,1.3138477,21656.396,74.04715,433.14893,-241.1453,51.741295,1.9258394,9443.469,32.510162,44.278606,426.41925,-254.53433,1.3312585,139.20482,3.2201867
1258,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5,20,50,1000,0.2,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,199,412,847.9492,-592.39844,2547.4531,-1154.9492,183.49678,-150.35649,60.92233,53.39806,1.9026289,1.329368,21850.295,74.22595,434.07416,-238.11816,51.758797,1.9558585,9723.434,32.98887,44.221107,427.99335,-251.71153,1.3480116,139.29126,3.5021558
