S.no,Date,TotalTrades,Profit,Profit%,ProfitCost,ProfitCost%,
1027,14-09-20,1,-103.09961,-0.45467004,-125.72461,-0.55444646,
1027,15-09-20,3,146.75195,0.65454125,79.4043,0.3542257,
1027,16-09-20,1,-100.45117,-0.4434333,-123.052734,-0.543206,
1027,25-09-20,3,566.80273,2.7238317,504.07422,2.4224708,
1027,28-09-20,1,53.75,0.2515691,32.35742,0.15144423,
1027,29-09-20,1,-192.75,-0.8936561,-214.22266,-0.9932108,
1027,01-10-20,1,162.84961,0.7445643,140.89648,0.6441924,
1027,05-10-20,1,-111.90039,-0.49275574,-134.55469,-0.5925144,
1027,06-10-20,2,50.45117,0.22088936,4.7441406,0.020773852,
1027,08-10-20,5,422.75586,1.823398,306.46094,1.322514,
1027,09-10-20,1,71.5,0.30354682,47.910156,0.20339827,
1027,12-10-20,1,-244.29883,-1.0120735,-268.31445,-1.1115646,
1027,14-10-20,3,848.0,3.5871105,776.64453,3.2853236,
1027,19-10-20,4,334.05273,1.404363,238.23633,1.0036515,
1027,21-10-20,2,137.60156,0.5571827,88.140625,0.35690317,
1027,27-10-20,1,490.05078,2.0192041,465.5371,1.9181981,
1027,02-11-20,4,1777.3965,7.3635073,1678.752,6.9598255,
1027,06-11-20,1,-123.5,-0.461221,-150.21484,-0.56098986,
1027,09-11-20,3,-672.4004,-2.4598646,-754.05273,-2.7586331,
1027,10-11-20,2,1002.84766,3.5827622,946.36523,3.3809764,
1027,13-11-20,2,154.69922,0.54468846,97.81445,0.34440935,
1027,18-11-20,3,172.05078,0.5794084,82.86328,0.27910915,
1027,20-11-20,1,-22.199219,-0.07588673,-51.441406,-0.17584942,
1027,25-11-20,2,-470.75,-1.5633422,-530.7363,-1.7625631,
1027,04-12-20,3,-98.14844,-0.32956046,-188.04297,-0.6293901,
1027,24-12-20,2,174.20117,0.576172,113.640625,0.37587553,
1027,28-12-20,2,-104.95117,-0.34111893,-166.43164,-0.5409477,
1027,29-12-20,2,-487.75,-1.5589061,-550.0801,-1.7581272,
1027,05-01-21,3,190.54688,0.6017222,95.42578,0.30141574,
1027,12-01-21,6,424.7461,1.3201314,231.16016,0.7194617,
1027,13-01-21,1,-169.44922,-0.5187486,-202.0293,-0.61848855,
1027,29-01-21,1,-404.04883,-1.3057379,-434.79102,-1.4050853,
1027,01-02-21,1,836.10156,2.5918798,803.4258,2.4905863,
1027,05-02-21,1,-531.75,-1.4614317,-567.8672,-1.5606942,
1027,08-02-21,1,-140.30078,-0.3865344,-176.52734,-0.48634005,
1027,15-02-21,2,20.25,0.055129837,-53.226562,-0.14488706,
1027,16-02-21,1,-423.0,-1.1237671,-460.4297,-1.2232051,
1027,24-02-21,2,0.0,0.0,-71.25,-0.199991,
1027,25-02-21,1,-349.89844,-0.9420002,-386.8672,-1.0415279,
1027,02-03-21,1,-229.5,-0.6434754,-265.05078,-0.74315315,
1027,03-03-21,2,1241.3516,3.4718628,1169.2227,3.2701411,
1027,09-03-21,1,57.25,0.16005903,21.453125,0.059978455,
1027,12-03-21,1,-170.39844,-0.46857813,-206.67969,-0.5683479,
1027,15-03-21,3,950.89844,2.723022,845.64844,2.421672,
1027,23-03-21,2,-177.14844,-0.5225828,-244.85938,-0.7223282,
1027,30-03-21,2,170.44922,0.5057645,102.96094,0.3055113,
1027,06-04-21,1,-241.09961,-0.73238033,-273.9004,-0.83201814,
1027,07-04-21,1,-273.5996,-0.83326995,-306.29883,-0.9328581,
1027,13-04-21,7,684.4551,2.1702921,464.4629,1.4692113,
1027,19-04-21,1,304.8496,0.9844131,273.72852,0.8839176,
1027,20-04-21,1,-230.0,-0.7262852,-261.55273,-0.82592124,
1027,26-04-21,2,46.44922,0.14313805,-18.478516,-0.056937393,
1027,28-04-21,5,2921.5078,8.83578,2754.457,8.331345,
1027,29-04-21,2,-1170.8516,-3.421976,-1238.6992,-3.6202748,
1027,07-05-21,2,-449.35156,-1.353341,-515.53125,-1.5526587,
1027,17-05-21,2,710.5996,2.1728034,644.834,1.9717126,
1027,18-05-21,1,-62.148438,-0.18270758,-96.13281,-0.2826168,
1027,21-05-21,4,711.5469,2.0659745,573.33203,1.6649559,
1027,24-05-21,2,-561.64844,-1.5977011,-631.6797,-1.7969172,
1027,28-05-21,2,-299.95312,-0.84961736,-370.41406,-1.0492015,
1027,03-06-21,2,-161.09766,-0.45328432,-232.09766,-0.653064,
1027,09-06-21,2,-266.0,-0.7517376,-336.63672,-0.95136297,
1027,21-06-21,1,237.19922,0.68445987,202.42578,0.58411795,
1027,05-07-21,2,-45.30078,-0.12905726,-115.48047,-0.32899284,
1027,22-07-21,3,142.40234,0.40874887,37.734375,0.108520776,
1027,04-10-21,3,114.75391,0.30593804,2.0976562,0.0057881996,
1027,01-11-21,1,112.44922,0.28347158,72.72266,0.18332548,
1027,15-11-21,1,-244.0,-0.62446177,-282.94922,-0.7241433,
1027,03-12-21,2,-583.1992,-1.5844704,-656.51953,-1.7836754,
1027,08-12-21,1,78.19922,0.2110492,41.10547,0.11093815,
1027,13-12-21,2,-54.253906,-0.1447464,-129.1875,-0.34467316,
1027,21-12-21,1,77.35156,0.22206083,42.476562,0.1219417,
1027,23-12-21,2,182.80078,0.51923454,112.296875,0.31897837,
1027,31-12-21,1,-63.94922,-0.17995033,-99.45703,-0.2798678,
1027,03-01-22,2,1269.2031,3.5444496,1196.9492,3.3426695,
1027,05-01-22,2,1138.6484,3.06851,1063.8633,2.8669739,
1027,06-01-22,1,-300.0,-0.7951011,-337.58203,-0.89470613,
1027,10-01-22,3,-82.59766,-0.21643396,-196.86719,-0.5163181,
1027,27-01-22,1,404.94922,1.0771201,367.15234,0.97658455,
1027,01-02-22,2,-520.4531,-1.3456497,-597.54297,-1.5449731,
1027,09-02-22,1,-21.949219,-0.057111535,-60.371094,-0.15708467,
1027,10-02-22,3,174.19922,0.44635916,57.007812,0.14612572,
1027,03-03-22,1,-369.44922,-1.0384583,-404.84375,-1.1379464,
1027,04-03-22,1,-238.30078,-0.6830187,-273.0703,-0.7826752,
1027,08-03-22,1,507.75,1.5535456,474.81445,1.4527739,
1027,09-03-22,6,1810.3398,5.3992023,1608.1875,4.7964945,
1027,10-03-22,1,256.15234,0.73450494,221.14844,0.63413286,
1027,14-03-22,1,327.25,0.9389127,292.23438,0.8384493,
1027,16-03-22,1,-113.5,-0.31755358,-149.1836,-0.4173902,
1027,17-03-22,1,16.648438,0.045705948,-19.785156,-0.05431737,
1027,22-03-22,4,1623.3047,4.5137157,1478.4922,4.111468,
1027,28-03-22,4,701.08984,1.974669,558.60156,1.5736697,
1027,30-03-22,4,573.85156,1.5881175,429.01172,1.1873301,
1027,01-04-22,2,997.1992,2.7173982,923.3086,2.5160446,
1027,04-04-22,1,-138.14844,-0.36097893,-176.35156,-0.46080285,
1027,07-04-22,3,-438.60156,-1.1572149,-552.0703,-1.4566448,
1027,12-04-22,2,-194.89844,-0.5148341,-270.51172,-0.71459174,
1027,26-04-22,3,-30.796875,-0.084225886,-140.35938,-0.38418704,
1027,20-05-22,3,46.85547,0.13812956,-55.214844,-0.16192138,
1027,23-05-22,1,44.75,0.12929657,10.1171875,0.02923168,
1027,26-05-22,3,826.5469,2.369481,721.4883,2.0683122,
1027,30-05-22,2,-37.648438,-0.104538485,-109.65625,-0.30448312,
1027,03-06-22,1,-180.54688,-0.503647,-216.30469,-0.60339576,
1027,08-06-22,1,-144.0,-0.40716726,-179.29297,-0.5069599,
1027,21-06-22,1,-150.25,-0.4477583,-183.73047,-0.54753304,
1027,23-06-22,5,-200.15234,-0.5962765,-366.4922,-1.0959935,
1027,27-06-22,2,-319.14844,-0.9371829,-387.09375,-1.1367147,
1027,30-06-22,1,-220.20312,-0.6553255,-253.69531,-0.7549983,
1027,05-07-22,3,452.2422,1.3247651,349.59766,1.0240977,
1027,07-07-22,2,220.39844,0.6362728,151.01172,0.43595928,
1027,18-07-22,3,1362.1016,3.9023037,1256.6992,3.600347,
1027,20-07-22,1,83.39844,0.23178144,47.375,0.13166487,
1027,22-07-22,2,426.10156,1.1667991,352.84766,0.9662076,
1027,25-07-22,1,-150.30078,-0.40768817,-187.09375,-0.5074885,
1027,05-08-22,1,68.34766,0.18002996,30.351562,0.079947,
1027,30-08-22,3,2427.293,6.2630715,2309.8125,5.9599414,
1027,08-09-22,2,61.148438,0.15316635,-18.730469,-0.046912946,
1027,09-09-22,2,-48.398438,-0.11925233,-129.48828,-0.31918517,
1027,20-09-22,2,222.64844,0.5375285,139.6914,0.33726352,
1027,30-09-22,2,903.59766,2.3696551,826.79297,2.168471,
1027,04-10-22,1,19.402344,0.049749345,-19.609375,-0.05028019,
1027,07-10-22,1,-32.05078,-0.081762195,-71.234375,-0.18172035,
1027,14-10-22,1,-34.398438,-0.08730136,-73.78125,-0.18725279,
1027,18-10-22,1,100.10156,0.24886368,59.828125,0.14873943,
1027,21-10-22,3,842.39844,2.0771065,720.3086,1.7760766,
1027,31-10-22,2,-161.19922,-0.39025533,-243.71875,-0.590053,
1027,01-11-22,1,-88.94922,-0.21347386,-130.57031,-0.31336248,
1027,30-01-23,2,-714.64844,-1.7571988,-795.6289,-1.9563262,
1027,01-02-23,2,-192.89453,-0.44478416,-275.84766,-0.644564,
1027,03-02-23,1,-345.84766,-0.83969796,-386.86328,-0.9392816,
1027,16-02-23,3,-223.0039,-0.531889,-348.64844,-0.83161736,
1027,15-03-23,2,-376.10156,-0.9460696,-455.41797,-1.1455902,
1028,25-01-16,1,-72.5,-0.4638946,-88.09277,-0.5636657,
1028,27-01-16,1,-75.950195,-0.48636448,-91.52734,-0.5861164,
1028,08-02-16,4,152.95117,1.0032384,91.87207,0.6027502,
1028,26-02-16,1,36.950195,0.26864374,23.177734,0.16851205,
1028,02-03-16,1,88.649414,0.59503436,73.70703,0.49473783,
1028,04-03-16,1,-75.549805,-0.4899119,-90.93359,-0.58966994,
1028,09-03-16,5,183.24902,1.2048349,107.04297,0.70422304,
1028,14-03-16,2,-87.25,-0.5674737,-117.95703,-0.76719785,
1028,16-03-16,5,273.05078,1.7733378,195.83301,1.2724539,
1028,21-03-16,3,130.50098,0.8280951,83.15723,0.5276943,
1028,01-04-16,2,-76.350586,-0.47061962,-108.75293,-0.67038786,
1028,11-04-16,2,237.30078,1.511519,205.78223,1.3107574,
1028,13-04-16,1,43.200195,0.2667041,26.981445,0.16657475,
1028,21-04-16,1,-17.09961,-0.102237076,-33.816406,-0.20218533,
1028,09-05-16,3,9.498047,0.057492502,-40.19922,-0.24252519,
1028,12-05-16,4,47.55078,0.2825811,-20.097656,-0.11755557,
1028,16-05-16,3,378.79883,2.275179,328.6582,1.9740373,
1028,25-05-16,1,70.34961,0.41938424,53.541016,0.319181,
1028,30-05-16,1,-155.10156,-0.878735,-172.67578,-0.9783025,
1028,03-06-16,1,-6.048828,-0.034147933,-23.759766,-0.1341329,
1028,30-06-16,2,24.15039,0.13544871,-11.525391,-0.064622134,
1028,22-11-16,1,-12.400391,-0.06680075,-30.957031,-0.16676515,
1028,30-11-16,4,185.4961,0.99904627,111.05664,0.5985553,
1028,02-12-16,1,-189.40039,-1.0275016,-207.73828,-1.1269851,
1028,09-12-16,1,49.25,0.26410908,30.578125,0.16397889,
1028,27-12-16,1,8.099609,0.045324292,-9.775391,-0.05470173,
1028,23-02-18,2,278.8496,1.1109521,228.50781,0.9103938,
1028,06-03-18,2,-258.20117,-1.0322053,-308.10156,-1.2316916,
1028,12-10-18,2,293.89844,1.1638517,243.23047,0.96327174,
1028,16-10-18,1,6.1992188,0.024230557,-19.388672,-0.075783476,
1028,17-10-18,2,-330.5,-1.2799927,-381.97656,-1.4793593,
1028,22-10-18,3,212.40234,0.8407871,136.50977,0.54037535,
1028,24-10-18,1,-152.0,-0.6025637,-177.15039,-0.7022657,
1028,29-10-18,1,186.94922,0.7543735,162.07422,0.65399843,
1028,02-11-18,4,609.6992,2.3811946,506.9707,1.9800024,
1028,23-05-19,2,-135.5,-0.43434978,-197.81836,-0.63413393,
1028,24-05-19,1,108.94922,0.35027623,77.791016,0.25010133,
1028,10-06-19,1,-197.79883,-0.6321552,-228.99023,-0.7318414,
1028,13-06-19,2,30.0,0.09692322,-31.929688,-0.1031307,
1028,08-08-19,1,186.44922,0.6663744,158.375,0.5660364,
1028,23-08-19,1,-184.79883,-0.6802365,-211.87305,-0.77989554,
1028,30-08-19,1,25.59961,0.09332857,-1.84375,-0.0067217653,
1028,12-09-19,2,-179.15039,-0.63955814,-235.08203,-0.83924323,
1028,23-09-19,2,1098.5996,3.6745458,1038.2539,3.4727082,
1028,01-10-19,3,-911.25,-3.0915134,-999.2129,-3.389966,
1028,09-10-19,3,1432.4512,5.0670023,1346.8809,4.7644672,
1028,11-10-19,1,-335.0,-1.174462,-363.35547,-1.2738721,
1028,15-10-19,1,-124.95117,-0.43583462,-153.55664,-0.5356116,
1028,22-10-19,2,162.20117,0.55103433,103.24609,0.35075754,
1028,04-11-19,1,-125.55078,-0.41074637,-156.05469,-0.51054156,
1028,06-11-19,6,950.7969,3.1252356,767.5918,2.5236688,
1028,15-11-19,1,-49.25,-0.15874884,-80.24805,-0.25866568,
1028,04-02-20,3,857.75,2.8315408,766.4336,2.5301359,
1028,11-02-20,3,-263.10156,-0.8365578,-357.31445,-1.1361357,
1028,19-02-20,1,-175.15039,-0.567513,-205.92578,-0.6672297,
1028,06-03-20,1,-88.29883,-0.31691092,-116.11719,-0.41675302,
1028,23-06-20,2,128.44922,0.578835,84.0,0.3785382,
1028,30-06-20,3,-300.95117,-1.3920407,-365.55664,-1.6913425,
1028,02-07-20,2,-376.49805,-1.6951619,-420.73242,-1.8943248,
