S.no,Date,TotalTrades,Profit,Profit%,Cost,Cost%,
1,27-10-17,3,-73.85156,-0.2958735,-148.63504,-0.59573233,
1,27-10-16,1,28.851562,0.14907134,9.482937,0.04899413,
1,14-10-15,2,-42.898438,-0.2442265,-77.99654,-0.44410187,
1,08-08-17,3,-105.20117,-0.42562553,-179.25912,-0.7254075,
1,17-01-19,1,91.94922,0.33536628,64.485695,0.23520091,
1,17-01-18,3,-50.902344,-0.1948655,-129.16315,-0.4947716,
1,08-08-18,2,-24.40039,-0.086857885,-80.57279,-0.2868265,
1,01-10-15,1,2.0,0.011612885,-15.223251,-0.08838947,
1,20-11-15,2,177.00195,1.0427907,142.84024,0.8422668,
1,27-09-16,2,-44.55078,-0.22716206,-83.76066,-0.4270539,
1,23-02-17,2,-43.398438,-0.2070179,-85.28009,-0.40691063,
1,20-11-18,1,-54.75,-0.20937464,-80.871925,-0.30926675,
1,20-11-17,3,-38.45117,-0.1494025,-115.6554,-0.44932348,
1,17-01-17,1,3.9003906,0.020471375,-15.154461,-0.079548255,
1,18-05-23,1,-50.148438,-0.11381684,-94.18401,-0.21375898,
1,03-08-15,3,-53.20117,-0.2800179,-110.16542,-0.5798811,
1,14-09-17,2,5.0996094,0.02070997,-44.78674,-0.17929403,
1,14-09-18,1,51.30078,0.18942864,24.19328,0.08933422,
1,19-10-21,2,-46.75,-0.11665277,-126.383675,-0.31659228,
1,05-05-23,1,-59.44922,-0.13647366,-102.980446,-0.23640548,
1,26-05-15,2,-27.296875,-0.14895529,-63.92663,-0.34887624,
1,18-05-17,2,-9.0,-0.039512064,-54.538303,-0.23949565,
1,17-01-20,3,-129.20117,-0.40706155,-224.31143,-0.70685524,
1,26-05-17,2,-34.15039,-0.14661941,-80.765915,-0.34654486,
1,18-05-15,1,-29.65039,-0.16204304,-47.933414,-0.261963,
1,25-11-22,3,122.40234,0.28510362,-6.6663055,-0.015033692,
1,14-09-22,5,905.0039,2.21253,698.5764,1.7114375,
1,14-09-23,2,-88.60156,-0.19258642,-180.55066,-0.3924904,
1,08-08-22,2,-72.15234,-0.18851158,-148.66544,-0.38842398,
1,08-08-23,1,-21.0,-0.046672523,-65.98386,-0.14665034,
1,25-01-19,1,-15.949219,-0.058248796,-43.322445,-0.15822615,
1,19-10-16,6,64.59766,0.33318308,-52.128143,-0.26696745,
1,19-10-15,1,-57.15039,-0.31856847,-75.06157,-0.4184144,
1,25-01-17,2,82.29883,0.43256927,44.04353,0.23235005,
1,03-08-23,3,-90.75,-0.20224756,-225.30728,-0.502132,
1,24-06-15,1,18.199219,0.098756365,-0.23828125,-0.001293011,
1,01-09-17,3,-21.048828,-0.08639651,-94.284454,-0.38635617,
1,16-08-23,2,-84.953125,-0.19357039,-172.70526,-0.39347765,
